dataset,attacker_fraction_requested,attacker_fraction_effective,num_attackers,target_alt,clean_target_rank,method,spearman,kendall,top1_acc,target_rank,target_rank_error,target_blocked
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M4,0.876±0.378,0.858±0.330,0.000±0.000,1,299.000±0.000,False
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M5,0.979±0.000,0.960±0.000,0.000±0.000,1,299.000±0.000,False
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M6,0.978±0.000,0.955±0.000,0.000±0.000,1,299.000±0.000,False
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M7,0.999±0.000,0.974±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M1,0.978,0.953,0.000,1,299.000,False
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M2,0.980±0.000,0.959±0.000,1.000±0.000,8,292.967±2.415,False
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M3,-0.540,-0.378,0.000,1,299.000,False
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M4,0.825±0.455,0.809±0.396,0.000±0.000,1,299.000±0.000,False
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M5,0.979±0.000,0.959±0.000,0.000±0.000,1,299.000±0.000,False
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M6,0.978±0.000,0.952±0.000,0.000±0.000,1,299.000±0.000,False
car_evaluation,0.60,0.600,9,Car_1_unacc,300,M7,0.999±0.000,0.973±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M1,0.980,0.974,1.000,3,297.000,False
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M2,0.996±0.000,0.982±0.000,1.000±0.000,168,134.033±5.642,False
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M3,1.000,0.995,1.000,300,0.000,True
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M4,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M5,0.996±0.000,0.982±0.000,1.000±0.000,166,134.033±0.180,False
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M6,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,M7,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000,True
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M1,0.980,0.972,0.000,1,299.000,False
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M2,0.991±0.001,0.977±0.000,1.000±0.000,101,200.667±6.680,False
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,M3,1.000,0.993,1.000,300,0.000,True
