evidence_set,dataset,mode,alternatives,criteria,decision_makers,target_alt,clean_target_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,target_rank,target_rank_error,target_rank_error_mean,target_rank_error_std,target_blocked
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M6,-1.000±0.000,-1.0,0.0,-1.000±0.000,-1.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M7,-0.080±0.160,-0.08,0.16,-0.067±0.133,-0.067,0.133,0.000±0.000,0.0,0.0,2,2.200±0.400,2.2,0.4,False
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M2,0.994±0.000,0.994,0.0,0.946±0.001,0.946,0.001,0.000±0.000,0.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M3,0.997±0.000,0.997,0.0,0.967±0.000,0.967,0.0,0.000±0.000,0.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M4,0.991±0.000,0.991,0.0,0.932±0.002,0.932,0.002,0.000±0.000,0.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M5,0.993±0.000,0.993,0.0,0.941±0.002,0.941,0.002,0.000±0.000,0.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M6,0.991±0.000,0.991,0.0,0.928±0.001,0.928,0.001,0.000±0.000,0.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,clean,80,6,15,Car_1_unacc,80,M7,0.990±0.000,0.99,0.0,0.923±0.001,0.923,0.001,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M1,0.909±0.000,0.909,0.0,0.848±0.000,0.848,0.0,0.000±0.000,0.0,0.0,1,79.000±0.000,79.0,0.0,False
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M2,0.967±0.004,0.967,0.004,0.905±0.002,0.905,0.002,0.200±0.400,0.2,0.4,31,45.400±3.878,45.4,3.878,False
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M3,0.993±0.000,0.993,0.0,0.942±0.000,0.942,0.0,1.000±0.000,1.0,0.0,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M4,0.992±0.001,0.992,0.001,0.933±0.003,0.933,0.003,0.400±0.490,0.4,0.49,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M5,0.963±0.000,0.963,0.0,0.903±0.001,0.903,0.001,0.400±0.490,0.4,0.49,31,49.000±0.000,49.0,0.0,False
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M6,0.992±0.001,0.992,0.001,0.935±0.003,0.935,0.003,0.800±0.400,0.8,0.4,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,car_evaluation,contaminated,80,6,15,Car_1_unacc,80,M7,0.991±0.000,0.991,0.0,0.930±0.002,0.93,0.002,0.400±0.490,0.4,0.49,80,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M2,1.000±0.000,1.0,0.0,0.996±0.003,0.996,0.003,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M4,1.000±0.000,1.0,0.0,0.998±0.003,0.998,0.003,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,healthcare_countries_2021,clean,26,13,15,Romania,26,M5,1.000±0.000,1.0,0.0,0.996±0.003,0.996,0.003,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
