dataset,attacker_fraction_requested,attacker_fraction_effective,method,metric,mean,std,n,ci95_low,ci95_high
car_evaluation,0.20,0.200,M3,target_rank_error,0.000000,,1,0.000000,0.000000
car_evaluation,0.20,0.200,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M4,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.20,0.200,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.20,0.200,M5,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M5,kendall,0.979000,0.000000,30,0.979000,0.979000
car_evaluation,0.20,0.200,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M5,target_rank_error,42.000000,0.000000,30,42.000000,42.000000
car_evaluation,0.20,0.200,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M6,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.20,0.200,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.20,0.200,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M7,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.20,0.200,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.30,0.267,M1,spearman,0.982000,,1,0.982000,0.982000
car_evaluation,0.30,0.267,M1,kendall,0.965000,,1,0.965000,0.965000
car_evaluation,0.30,0.267,M1,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.30,0.267,M1,target_rank_error,276.000000,,1,276.000000,276.000000
car_evaluation,0.30,0.267,M2,spearman,0.996000,0.000000,30,0.996000,0.996000
car_evaluation,0.30,0.267,M2,kendall,0.972000,0.001000,30,0.971627,0.972373
car_evaluation,0.30,0.267,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M2,target_rank_error,124.400000,5.908000,30,122.194164,126.605836
car_evaluation,0.30,0.267,M3,spearman,0.999000,,1,0.999000,0.999000
car_evaluation,0.30,0.267,M3,kendall,0.983000,,1,0.983000,0.983000
car_evaluation,0.30,0.267,M3,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.30,0.267,M3,target_rank_error,0.000000,,1,0.000000,0.000000
car_evaluation,0.30,0.267,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.30,0.267,M4,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.30,0.267,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.30,0.267,M5,spearman,0.996000,0.000000,30,0.996000,0.996000
car_evaluation,0.30,0.267,M5,kendall,0.973000,0.000000,30,0.973000,0.973000
car_evaluation,0.30,0.267,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M5,target_rank_error,108.000000,0.000000,30,108.000000,108.000000
car_evaluation,0.30,0.267,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.30,0.267,M6,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.30,0.267,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.30,0.267,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.30,0.267,M7,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.30,0.267,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.40,0.400,M1,spearman,0.979000,,1,0.979000,0.979000
car_evaluation,0.40,0.400,M1,kendall,0.963000,,1,0.963000,0.963000
car_evaluation,0.40,0.400,M1,top1_acc,0.000000,,1,0.000000,0.000000
car_evaluation,0.40,0.400,M1,target_rank_error,299.000000,,1,299.000000,299.000000
